Time	Displacement	BinCount	Variance	Velocity	Label
210	20.825	30	4.56513	0.119	471194582318786
211	20.97	29	4.62959	0.145	471194582318786
212	21.041	30	4.64804	0.071	471194582318786
213	21.089	30	4.6549	0.048	471194582318786
214	21.22	30	4.62629	0.131	471194582318786
215	21.332	28	4.63689	0.112	471194582318786
216	21.406	29	4.66414	0.074	471194582318786
217	21.561	29	4.68522	0.155	471194582318786
218	21.645	29	4.6436	0.084	471194582318786
219	21.759	30	4.65177	0.114	471194582318786
220	21.808	30	4.63628	0.049	471194582318786
221	21.937	31	4.67087	0.129	471194582318786
222	22.048	31	4.68878	0.111	471194582318786
223	22.142	31	4.65842	0.094	471194582318786
224	22.263	32	4.72142	0.121	471194582318786
225	22.314	31	4.69898	0.051	471194582318786
226	22.412	32	4.66061	0.098	471194582318786
227	22.53	32	4.62656	0.118	471194582318786
228	22.667	32	4.67805	0.137	471194582318786
229	22.766	32	4.71362	0.099	471194582318786
230	22.862	33	4.74541	0.096	471194582318786
231	22.946	33	4.75564	0.084	471194582318786
232	23.021	33	4.75011	0.075	471194582318786
233	23.085	32	4.80435	0.064	471194582318786
234	23.216	32	4.81387	0.131	471194582318786
235	23.296	32	4.8377	0.08	471194582318786
236	23.362	32	4.84654	0.066	471194582318786
237	23.425	33	4.86173	0.063	471194582318786
238	23.539	33	4.87734	0.114	471194582318786
239	23.721	33	4.95582	0.182	471194582318786
240	23.85	33	5.01951	0.129	471194582318786
241	24.001	34	5.01538	0.151	471194582318786
242	24.068	35	5.05474	0.067	471194582318786
243	24.218	34	5.06394	0.15	471194582318786
244	24.311	34	5.1314	0.093	471194582318786
245	24.405	35	5.10862	0.094	471194582318786
246	24.458	35	5.15104	0.053	471194582318786
247	24.578	35	5.21871	0.12	471194582318786
248	24.611	35	5.27245	0.033	471194582318786
249	24.704	35	5.2223	0.093	471194582318786
250	24.796	35	5.24141	0.092	471194582318786
251	24.893	35	5.29637	0.097	471194582318786
252	24.965	35	5.29762	0.072	471194582318786
253	25.035	35	5.31044	0.07	471194582318786
254	25.079	36	5.28987	0.044	471194582318786
255	25.22	36	5.25258	0.141	471194582318786
256	25.331	37	5.26008	0.111	471194582318786
257	25.425	37	5.25456	0.094	471194582318786
258	25.554	36	5.23241	0.129	471194582318786
259	25.641	36	5.2052	0.087	471194582318786
260	25.725	38	5.20417	0.084	471194582318786
261	25.827	37	5.24319	0.102	471194582318786
262	25.917	38	5.31047	0.09	471194582318786
263	26.06	38	5.33314	0.143	471194582318786
264	26.096	38	5.32464	0.036	471194582318786
265	26.166	38	5.32573	0.07	471194582318786
266	26.251	38	5.37131	0.085	471194582318786
267	26.318	37	5.3519	0.067	471194582318786
268	26.459	37	5.36296	0.141	471194582318786
269	26.604	38	5.38379	0.145	471194582318786
270	26.706	38	5.41374	0.102	471194582318786
271	26.744	37	5.44045	0.038	471194582318786
272	26.906	38	5.45639	0.162	471194582318786
273	26.92	37	5.45368	0.014	471194582318786
274	27.023	36	5.44036	0.103	471194582318786
275	27.176	36	5.46489	0.153	471194582318786
276	27.265	37	5.5261	0.089	471194582318786
277	27.349	37	5.50184	0.084	471194582318786
278	27.394	36	5.51042	0.045	471194582318786
279	27.438	36	5.49547	0.044	471194582318786
280	27.568	37	5.56708	0.13	471194582318786
281	27.711	37	5.60593	0.143	471194582318786
282	27.788	37	5.60527	0.077	471194582318786
283	27.866	37	5.60884	0.078	471194582318786
284	27.929	37	5.63799	0.063	471194582318786
285	28.025	37	5.58295	0.096	471194582318786
286	28.162	37	5.59587	0.137	471194582318786
287	28.301	38	5.56016	0.139	471194582318786
288	28.388	38	5.56951	0.087	471194582318786
289	28.537	38	5.58915	0.149	471194582318786
290	28.634	38	5.6671	0.097	471194582318786
291	28.686	38	5.70924	0.052	471194582318786
292	28.783	38	5.76376	0.097	471194582318786
293	28.891	38	5.77132	0.108	471194582318786
294	28.985	39	5.86044	0.094	471194582318786
295	29.058	39	5.91892	0.073	471194582318786
296	29.148	39	5.91879	0.09	471194582318786
297	29.266	39	5.93879	0.118	471194582318786
298	29.396	39	5.9155	0.13	471194582318786
299	29.474	39	5.94713	0.078	471194582318786
300	29.561	39	5.9609	0.087	471194582318786
301	29.63	38	5.9582	0.069	471194582318786
302	29.683	38	5.95126	0.053	471194582318786
303	29.828	38	6.02556	0.145	471194582318786
304	30.011	38	6.0324	0.183	471194582318786
305	30.137	38	6.07439	0.126	471194582318786
306	30.33	38	6.09599	0.193	471194582318786
307	30.398	38	6.09956	0.068	471194582318786
308	30.473	38	6.17035	0.075	471194582318786
309	30.563	38	6.20008	0.09	471194582318786
310	30.616	38	6.1809	0.053	471194582318786
311	30.724	38	6.12257	0.108	471194582318786
312	30.866	38	6.10033	0.142	471194582318786
313	31.061	37	6.20002	0.195	471194582318786
314	31.08	37	6.16698	0.019	471194582318786
315	31.194	37	6.13623	0.114	471194582318786
316	31.243	37	6.10131	0.049	471194582318786
317	31.368	37	6.13601	0.125	471194582318786
318	31.451	37	6.18487	0.083	471194582318786
319	31.515	36	6.13374	0.064	471194582318786
320	31.687	36	6.15175	0.172	471194582318786
321	31.756	36	6.18114	0.069	471194582318786
322	31.85	36	6.14007	0.094	471194582318786
323	31.947	36	6.12015	0.097	471194582318786
324	32.081	36	6.15276	0.134	471194582318786
325	32.226	36	6.148	0.145	471194582318786
326	32.362	36	6.17584	0.136	471194582318786
327	32.409	35	6.15912	0.047	471194582318786
328	32.457	35	6.14989	0.048	471194582318786
329	32.525	35	6.19495	0.068	471194582318786
330	32.624	35	6.20706	0.099	471194582318786
331	32.683	35	6.27714	0.059	471194582318786
332	32.804	35	6.25576	0.121	471194582318786
333	32.846	35	6.23083	0.042	471194582318786
334	32.857	35	6.25592	0.011	471194582318786
335	33.031	35	6.29286	0.174	471194582318786
336	33.114	35	6.33404	0.083	471194582318786
337	33.216	35	6.26541	0.102	471194582318786
338	33.34	35	6.22964	0.124	471194582318786
339	33.421	35	6.2181	0.081	471194582318786
340	33.479	35	6.23382	0.058	471194582318786
341	33.595	35	6.23338	0.116	471194582318786
342	33.715	35	6.20022	0.12	471194582318786
343	33.798	35	6.25054	0.083	471194582318786
344	33.87	35	6.2602	0.072	471194582318786
345	33.978	35	6.23815	0.108	471194582318786
346	34	35	6.25308	0.022	471194582318786
347	34.11	34	6.20612	0.11	471194582318786
348	34.277	34	6.19615	0.167	471194582318786
349	34.389	34	6.25505	0.112	471194582318786
350	34.531	34	6.23763	0.142	471194582318786
351	34.658	34	6.30746	0.127	471194582318786
352	34.73	34	6.26204	0.072	471194582318786
353	34.834	34	6.26917	0.104	471194582318786
354	34.967	34	6.27191	0.133	471194582318786
355	35.117	34	6.25158	0.15	471194582318786
356	35.254	33	6.25048	0.137	471194582318786
357	35.325	33	6.25079	0.071	471194582318786
