Time	Displacement	BinCount	Variance	Velocity	Label
164	8.908	7	0.586119	0.013	155739982752330
165	8.916	6	0.535672	0.008	155739982752330
166	8.922	6	0.526228	0.006	155739982752330
167	8.922	6	0.501912	0	155739982752330
168	8.925	6	0.482053	0.003	155739982752330
169	8.941	6	0.430719	0.016	155739982752330
170	8.943	6	0.439034	0.002	155739982752330
171	8.955	5	0.396201	0.012	155739982752330
172	8.968	5	0.322453	0.013	155739982752330
173	8.962	5	0.35715	-0.006	155739982752330
174	8.958	4	0.360882	-0.004	155739982752330
175	8.956	4	0.352227	-0.002	155739982752330
176	8.954	4	0.384557	-0.002	155739982752330
177	8.953	4	0.377877	-0.001	155739982752330
178	8.955	4	0.353518	0.002	155739982752330
179	8.949	4	0.396735	-0.006	155739982752330
180	8.943	4	0.402183	-0.006	155739982752330
181	8.935	4	0.43333	-0.008	155739982752330
182	8.94	4	0.387814	0.005	155739982752330
183	8.924	4	0.428047	-0.016	155739982752330
184	8.935	4	0.402213	0.011	155739982752330
185	8.93	4	0.407554	-0.005	155739982752330
186	8.932	4	0.389071	0.002	155739982752330
187	8.945	4	0.382067	0.013	155739982752330
188	8.941	4	0.384082	-0.004	155739982752330
189	8.951	4	0.350141	0.01	155739982752330
190	8.955	4	0.337602	0.004	155739982752330
191	8.947	4	0.382349	-0.008	155739982752330
192	8.951	4	0.365512	0.004	155739982752330
193	8.952	4	0.364275	0.001	155739982752330
194	8.966	4	0.309587	0.014	155739982752330
195	8.976	4	0.287096	0.01	155739982752330
196	8.981	4	0.263892	0.005	155739982752330
197	8.98	4	0.25807	-0.001	155739982752330
198	8.985	4	0.254509	0.005	155739982752330
199	8.985	4	0.240364	0	155739982752330
200	8.991	4	0.175838	0.006	155739982752330
201	8.993	4	0.192226	0.002	155739982752330
202	8.992	4	0.214327	-0.001	155739982752330
203	8.997	4	0.14139	0.005	155739982752330
204	8.999	2	0.099995	0.002	155739982752330
205	9	1	0	0.001	155739982752330
