184	136.14	289.1	273.3	178.44	123.02	
185	134.12	290.56	275.3	179.44	120.58	
186	132.5	288.72	277.4	178.96	122.42	
187	126.44	291.54	277.18	182.12	122.72	
188	124.6	287.54	280.1	182.5	125.26	
189	126.18	282.18	281.02	184.6	126.02	
190	127.24	279.92	281.48	183.4	127.96	
191	128.14	271.44	281.2	186.24	132.98	
192	130.28	270.3	279.52	186.58	133.32	
193	131.64	265.9	279.48	187.32	135.66	
194	131.84	266.14	278.92	185	138.1	
195	132.38	265.38	275.38	182.26	144.6	
196	131.86	263.08	274.9	181.82	148.34	
197	130.66	263.9	271.36	182.38	151.7	
198	128.78	263.44	271	183.7	153.08	
199	126.86	263.96	271.06	182.84	155.28	
200	126.56	263.74	268.5	183.02	158.18	
201	126.28	265.3	261.16	188.62	158.64	
202	122.72	264.56	262.38	191.68	158.66	
203	120.52	263.52	261.1	191.88	162.98	
204	116.68	264.82	257.58	193.1	167.82	
205	113.28	258.92	261.88	196.32	169.6	
206	108.04	261.04	261.2	197.76	171.96	
207	108.46	256.82	265.78	193.68	175.26	
208	106.78	251.64	266.28	192.4	182.9	
209	103.38	253.6	264.14	193.82	185.06	
210	103	251.02	262.4	196.6	186.98	
211	102.44	250.66	263	195.98	187.92	
212	101.48	249.4	258.98	194.16	195.98	
213	97.34	251.34	259.56	194.28	197.48	
214	97.66	251.54	257.14	193.68	199.98	
215	93.76	250.58	257.12	195.14	203.4	
216	94.14	246.04	260.28	192.74	206.8	
217	87.92	250.56	256.82	196.22	208.48	
218	87.72	251.88	256.4	197.12	206.88	
219	89.14	249.52	256.08	195.52	209.74	
220	90.44	247.66	256.62	195.02	210.26	
221	87.08	249.8	251.84	200.3	210.98	
222	83.54	251.88	248.9	204.28	211.4	
223	82.9	249.84	247.36	204.7	215.2	
224	83.4	248.92	245.74	207.94	214	
225	81.86	245.52	247.98	208.1	216.54	
226	82.32	242.3	249.54	200.76	225.08	
227	82.34	243.04	248.36	201.06	225.2	
228	81.64	244.86	243.7	204.58	225.22	
229	77.98	242.42	244.38	207.84	227.38	
230	77.74	241.06	238.76	212.02	230.42	
231	77.08	241.06	233.4	216.42	232.04	
232	76.38	235.58	235.68	216.34	236.02	
233	75.5	231.08	235.68	214.16	243.58	
234	73.78	229	236.6	211.96	248.66	
235	75.26	227.16	232.7	209.64	255.24	
236	75.2	227.3	232.28	209.64	255.58	
237	71.96	225.04	233.32	210.26	259.42	
238	72.86	218.46	230.16	213.16	265.36	
239	71.6	214.7	227.12	217.22	269.36	
240	72.86	209.78	228.14	214.06	275.16	
241	71.5	209.36	228.6	214.54	276	
242	68.68	205.88	229.76	216.46	279.22	
243	66.9	202.92	228.66	215.94	285.58	
244	65.28	205.66	229.78	215.66	283.62	
245	66.12	203.22	234.28	214.56	281.82	
246	67.72	202.48	232.6	215.04	282.16	
247	67.86	204.32	231.06	213.38	283.38	
248	64.8	203.1	230.12	216.18	285.8	
249	63.54	201.46	230.52	215.82	288.66	
250	63.78	198.36	229.84	214.72	293.3	
251	62.62	194.88	227.66	218.2	296.64	
252	63.4	196.26	229.5	219.86	290.98	
253	63.72	192.94	228.4	219.76	295.18	
254	61.1	194.64	229.4	220.14	294.72	
255	60.8	192	228.76	220.56	297.88	
256	61.9	190.74	228.32	218.54	300.5	
257	60.9	193.44	225.78	215.68	304.2	
258	61.02	194.24	222.84	213.88	308.02	
259	60.9	193.2	222.56	213.86	309.48	
260	59.58	196.64	219.5	212.08	312.2	
261	60.92	193.18	221.06	213.54	311.3	
262	58.64	191.82	222.66	213.64	313.24	
263	58.48	192.66	224.14	208.14	316.58	
264	59.82	193.56	221.58	208.88	316.16	
265	62.18	191.84	220.14	209.86	315.98	
266	63.68	188.72	222.96	210.26	314.38	
267	64.42	185.4	222.32	209.6	318.26	
268	61.98	188.68	218.68	209.82	320.84	
269	62.7	185.94	219.78	210.86	320.72	
270	61.58	185.14	220.4	212.52	320.36	
271	60.7	180.8	223.98	208.72	325.8	
272	59.64	181.82	222.32	209	327.22	
273	58.8	181.34	221.08	208.2	330.58	
274	56.64	179.32	223.52	207.48	333.04	
275	56.54	180.06	223.02	206.24	334.14	
276	53.24	180.5	224.86	206.42	334.98	
277	53.92	178.58	223.2	204.38	339.92	
278	54.28	177.16	223.84	201.8	342.92	
279	54.32	173.94	219.98	207.2	344.56	
280	51.38	174.02	216.96	210.54	347.1	
281	48.08	173.7	217.06	210.66	350.5	
282	48.38	171.28	215.72	213.16	351.46	
283	45.56	169.38	216.76	213.5	354.8	
284	45.3	171.84	213.14	214.7	355.02	
285	45.48	169.62	211.02	215.72	358.16	
286	46.06	168.68	211.68	213.36	360.22	
287	44.5	170.22	212.06	211.52	361.7	
288	43.1	164.34	213.52	212.74	366.3	
289	41.68	163.62	212.04	212.98	369.68	
290	40.52	165.84	206.58	216.4	370.66	
291	39.3	165.1	205.08	218.18	372.34	
292	39.56	163.34	204.94	215.38	376.78	
293	38.08	160.16	206.22	213	382.54	
294	35.94	162.16	207.8	213.62	380.48	
295	35.32	156.64	208.8	215.12	384.12	
296	36.02	151.82	209.74	216.42	386	
297	35.42	147.82	205.34	219.66	391.76	
298	34.82	152.84	207.4	212.48	392.46	
299	34.24	148.78	206.8	214.44	395.74	
300	33.78	147.98	209	214.46	394.78	
301	32.56	146.68	213.16	211.3	396.3	
302	31.34	146.88	212.98	209.26	399.54	
303	32.22	143.28	212.76	211.9	399.84	
304	31.92	144.1	209.42	210.9	403.66	
305	28.98	146.34	209.82	212.06	402.8	
306	29.62	147.94	204.44	212.98	405.02	
307	29.16	147.72	204	211.88	407.24	
308	30.08	146.64	200.68	210.22	412.38	
309	28.02	149.96	201.2	208.42	412.4	
310	27.56	147.36	207.64	206.66	410.78	
311	27.38	144.56	206.58	208.36	413.12	
312	27.62	138.06	204.6	210	419.72	
313	27.86	137.86	206.36	206.84	421.08	
314	27.64	139.08	203.54	206.1	423.64	
315	26.82	139.1	200.42	211.54	422.12	
316	26.66	139.74	197.06	211.38	425.16	
317	25.86	137.64	200	209.4	427.1	
318	24.94	137.36	197.62	211.32	428.76	
319	24.42	135.54	197.98	212.64	429.42	
320	25.2	133.32	196.26	219.28	425.94	
321	24.38	133.84	196.9	216.76	428.12	
322	24.18	132.68	196.54	213	433.6	
323	23.62	131.36	198	212.4	434.62	
324	23.08	131.24	199.46	208.06	438.16	
325	22.06	127.66	195.36	209.22	445.7	
326	21.54	128.72	188.24	207.74	453.76	
327	22.5	128.9	186.24	204.26	458.1	
328	21.56	129.54	183.6	204.04	461.26	
329	21.88	126.44	178.42	205.72	467.54	
330	21.78	125.34	175.6	206.04	471.24	
331	22.2	123.24	174.62	208.14	471.8	
332	21.96	122.26	177.48	207.86	470.44	
333	20.66	122.6	176.6	212.02	468.12	
334	21.1	122.48	178.04	210.52	467.86	
335	19.66	120.62	176.2	212.92	470.6	
336	20.28	121.96	176.8	211.32	469.64	
337	20.24	123.62	175.02	211.86	469.26	
338	20.58	121.46	174.68	210.94	472.34	
339	20.8	121.8	172.78	213.02	471.6	
340	19.52	121.04	172.84	208.36	478.24	
341	19.36	119.98	167.52	205.1	488.04	
342	21	119.46	164.54	206.06	488.94	
343	20	116.56	164.92	207.3	491.22	
344	19.18	115.92	167.1	204.72	493.08	
345	20.14	113.68	167.18	203.72	495.28	
346	19.28	111.42	169.26	204.58	495.46	
347	19	110.08	166.92	205.92	498.08	
348	18.26	108.24	165.26	206.34	501.9	
349	17.14	111	161.74	204.16	505.96	
350	18.64	111.28	160.34	199.96	509.78	
351	17.66	108.72	158.06	199.82	515.74	
352	17.04	107	156.68	201.36	517.92	
353	17.12	105.08	154.84	199.84	523.12	
354	17.34	104.88	155.64	198.56	523.58	
355	16.7	104.4	154.08	198.88	525.94	
356	16.36	101.54	155.42	197.7	528.98	
357	16.26	100.7	154.34	200.86	527.84	
358	15.5	98.94	156.34	195.32	533.9	
359	15.12	98.08	157.86	194.92	534.02	
360	13.94	94.78	158.38	192.62	540.28	
361	14.4	91.5	155.6	195.48	543.02	
362	14.44	89.62	151.72	195.82	548.4	
